id,name,years,institutions,countries,affiliations_comment,journal_names,works_count,total_works_count,total_cited_by_count
A5006148093,Magdalena Forowicz,2008,University of Zurich,CH,,Leiden Journal of International Law (LJIL),1,34,152
A5021430176,Marc L. Hutchison,2015,University of Rhode Island,US,,American Political Science Review (APSR),1,31,832
A5026482755,Marie Courtemanche,2015,Thiel College,US,,American Political Science Review (APSR),1,10,472
A5026957118,Marion Boulby,2001;2003,,,,International Journal of Middle East Studies (IJMES);Middle East Journal,2,14,130
A5027570326,Mark Peffley,2015,University of Kentucky,US,,American Political Science Review (APSR),1,76,4422
A5002829870;A5001057607,Martin Edelman,2004;2005,"Albany State University;University at Albany, State University of New York",US,,International Journal of Middle East Studies (IJMES),3,23,102
A5032508568,Marwan Dwairy,2004;2007,Oranim Academic College of Education,IL,,International Journal of Middle East Studies (IJMES);Journal of Social Issues (JSI),2,73,2773
A5005341787,Mary Ann Tétreault,1996;2001,Trinity University,US,,International Journal of Middle East Studies (IJMES);Middle East Journal,2,138,1160
A5035233597,Melford Spiro,1972;2004,"University of California, San Diego",US,,American Anthropologist,2,194,4664
A5089257810,Menachem Shelah,1989,University of Haifa,IL,,Holocaust and Genocide Studies (HGS),1,2,3
A5061356960,Miriam Joyce,2000;2005;2007,Purdue University Northwest,US,,International Journal of Middle East Studies (IJMES);Middle East Journal,3,38,126
A5014390327;A5026305429,Mohammed M. Hafez,2001;2003,London School of Economics and Political Science,GB,,International Journal of Middle East Studies (IJMES),2,64,1969
A5052863618,Mordecai Paldiel,1988,Ministry of Social Affairs and Social Services,IL,,Holocaust and Genocide Studies (HGS),1,19,130
A5055176028,Mordechai Nisan,2005;2010,,,,International Journal of Middle East Studies (IJMES);Middle East Journal,2,35,149
A5114244079,Maayan Cohen,2024,Tel Aviv University,IL,,Journal of the Royal Anthropological Institute (JRAI),1,2,6
A5063271221,Maayan Geva,2019,University of Roehampton;Weatherford College,GB;US,,Law and Social Inquiry,1,13,36
A5028364648,Maayan Schori,2011,University of Pennsylvania,US,,Journal of Loss and Trauma,1,5,19
A5048679939,Madelaine Chiam,2024,,,,European Journal of International Law (EJIL),1,39,169
A5036316422,Madeleine Tress,1992;1994,Hebrew Immigrant Aid Society,US,"New York, N.Y.",International Journal of Middle East Studies (IJMES),3,15,71
A5084849687,Maggie Nye Smith,2021,,,,Journal of Palestine Studies,1,1,0
A5071275222,Magid Shihade,2017,,,,Journal of Palestine Studies,1,30,384
A5077435956,Maha Nassar,2011;2018;2019,University of Arizona,US,,International Journal of Middle East Studies (IJMES);Journal of Palestine Studies,3,51,124
A5034667773,Maha Sabbah-Karkabi,2021;2025,Ben-Gurion University of the Negev,IL,,Ethnic and Racial Studies,2,14,88
A5042745081,Maha Samman,2022,Al-Quds University,PS,,Middle East Critique,1,16,52
A5014929297,Mahmood Ibrahim,1993,California State Polytechnic University,US,,British Journal of Middle Eastern Studies (BRISMES),2,41,142
A5049451614,Mahmood Mamdani,2015,,,,Journal of Palestine Studies,1,214,18412
A5086818737,Mahmood Monshipouri,2008,,,,Human Rights Quarterly,1,211,1263
A5109432841,Mahmoud Yazbak,2000,,,,Journal of Palestine Studies,2,43,165
A5014135691,Mahmud El-Jaafari,1995,,,,Journal of Palestine Studies,2,3,54
A5064683340,Mahmut Bali Aykan,1993,Middle East Technical University,TR,,International Journal of Middle East Studies (IJMES),1,6,112
A5072424645,Maia Carter Hallward,2011;2020;2021,Kennesaw State University,US,,International Journal of Middle East Studies (IJMES);Journal of Palestine Studies,3,108,452
A5088635882,Mais Qandeel,2020;2023,Örebro University,SE,,Journal of Palestine Studies,2,13,52
A5091242482,Majed El‐Farra,1999,Iraqi University;Islamic University of Gaza,IQ;PS,,British Journal of Middle Eastern Studies (BRISMES),1,20,56
A5004250707,Majid Al-Haj,2002;2004,,,,Ethnic and Racial Studies;Journal of Ethnic and Migration Studies (JEMS),2,71,1874
A5090534610,Majid Nehme,1986,,,"Majid Nehme is a Lebanese journalist living in Paris. The review originally appeared in the Institute for Palestine Studies' French language quarterly, Revue d'études Palestiniennes, no. 19 (Spring 1986).",Journal of Palestine Studies,2,4,0
A5071697107,Makram Khuri Makhul,1988,,,Makram Khuri Makhul is a reporter with the Israeli newspaper Ha'Ir (Tel Aviv). This article appeared in Ha'Ir on 18 December 1987. It was translated and published in News From Within on 6 January 1988.,Journal of Palestine Studies,1,2,1
A5013761868,Mala Tabory,1983,,,,International & Comparative Law Quarterly (ICLQ),1,25,257
A5103129240,Malaka Shwaikh,2020,University of St Andrews,GB,,British Journal of Middle Eastern Studies (BRISMES),1,6,25
A5000602543,Malcolm Dando,2015,University of Bradford,GB,,International Journal of Human Rights (IJHR),1,334,2455
A5109204216,Malcolm H. Kerr,1973;1979,"University of California, Los Angeles",US,,American Political Science Review (APSR);Journal of Palestine Studies,2,64,891
A5105421493,Malcolm Harrison,1997,University of Leeds,GB,,Ethnic and Racial Studies,1,168,648
A5022288384,Mally Shechory Bitton,2013,Ariel University;Bar-Ilan University,IL,,Journal of Loss and Trauma,1,60,697
A5087188714,Malvina Halberstam,1984;1988,Yeshiva University,US,,American Journal of International Law (AJIL),2,44,200
A5004486471,Mamdouh Nofal,2006,,,,Journal of Palestine Studies,1,3,13
A5105998140;A5083311660,Mamduh Isma'il,1989,,,,Journal of Palestine Studies,2,2,0
A5023220206,Mamoun Fandy,1998,,,,Middle East Journal,1,28,744
A5091825701,Manana Jaworska,2013,University of Warsaw,PL,,Journal of Social Issues (JSI),1,7,342
A5054433519,Mandy Turner,2019,,,,Journal of Palestine Studies,1,70,888
A5006400425,Manfred Brusten,1993,University of Wuppertal,DE,,Holocaust and Genocide Studies (HGS),1,5,40
A5054841871,Manfred Halpern,1977,Princeton University,US,,American Political Science Review (APSR),2,70,447
A5016171021,Manit Srisurapanont,2021,Chiang Mai University,TH,,Journal of Loss and Trauma,1,188,5807
A5047639575,Mansour Nasasra,2020,Ben-Gurion University of the Negev,IL,,Middle East Critique,1,40,276
A5011182608,Mansur Saad,2014,,,,Journal of Ethnic and Migration Studies (JEMS),1,1,14
A5005044683,Maoz Rosenthal,2017;2019,Reichman University,IL,,Ethnic and Racial Studies;Ethnicities,2,31,203
A5046784446,Mara A Leichtman,2010,Michigan State University,US,,International Journal of Middle East Studies (IJMES),1,45,261
A5035048826,Marc A. Weiner,1996,,,,New German Critique,1,42,235
A5015118677,Marc D. Stern,1986,Social Action;United States Congress,NG;US,,Patterns of Prejudice,1,36,25
A5112406672,Marc H. Ellis,1991;1997,,,,Journal of Palestine Studies,3,99,4438
A5103606886,Marc Howard Ross,1994,Bryn Mawr College,US,,American Political Science Review (APSR),1,169,4634
A5044510655,Marc J. O'reilly,1998,,,,Middle East Journal,1,21,89
A5113990581,Marc J. Swartz,1979,"University of California, San Diego",US,,American Anthropologist,1,84,955
A5007316543,Marc Saperstein,2006,,,,Middle East Journal,1,196,421
A5063062321,Marc V. Levine,1993,University of Wisconsin–Milwaukee,US,,Ethnic and Racial Studies,1,58,393
A5103095246,Marc Valeri,2010,,,,International Journal of Middle East Studies (IJMES),1,63,356
A5111629254,MarcH. Ellis,1990,,,,Journal of Palestine Studies,1,4,243
A5018115435,Marcelo Svirsky,2021;2023,University of Wollongong,AU,,Ethnicities;Journal of Palestine Studies,2,57,332
A5000581258,Marcia Inhorn,2003,,,,Middle East Journal,1,316,10632
A5001872208,Marco Brambilla,2015,University of Milano-Bicocca,IT,,Personality and Social Psychology Bulletin (PSPB),1,162,3507
A5066456911,Marco Longobardo,2025,,,,American Journal of International Law (AJIL),1,105,224
A5022096274,Marco Martiniello,1996;1997,Fund for Scientific Research;University of Liège,BE,,Ethnic and Racial Studies,3,760,2347
A5102905853,Marco Pertile,2020,University of Trento,IT,,Leiden Journal of International Law (LJIL),1,37,118
A5112758093,Marek Ziolkowski,1996,Adam Mickiewicz University in Poznań,PL,,Ethnic and Racial Studies,1,3,3
A5018326103,Margalit Bejarano,1990,,,"Researcher at the Institute of Contemporary Jewry and the Vidal Sassoon International Center for the Study of Antisemitism , Hebrew University , Jerusalem",Patterns of Prejudice,1,31,43
A5055861543,Margalit Ziv,2021,Kaye Academic College of Education,IL,,Group Processes & Intergroup Relations (GPIR),1,41,1806
A5071809119,Margaret Bevege,1996,Bexley Hall,US,,Ethnic and Racial Studies,1,4,122
A5056829377,Margaret E. Kenna,1997,Swansea University;University of Wales,GB,,Ethnic and Racial Studies,1,58,2137
A5071393759,Margaret Scotford Archer,1970,,,,The British Journal of Sociology (BJS),1,269,22100
A5029802828,Margarete Myers Feinstein,2022,Loyola Marymount University,US,,Holocaust and Genocide Studies (HGS),1,35,79
A5019856174,Margit Cohn,2014,Hebrew University of Jerusalem,IL,,International & Comparative Law Quarterly (ICLQ),1,48,110
A5078174938,Margret Johannsen,2011,,,,Journal of Palestine Studies,1,50,26
A5011041797,Marian J. Bakermans-Kranenburg,2012,Leiden University,NL,,Journal of Loss and Trauma,1,719,56422
A5007076856,Marian L. Nash,1981,,,,American Journal of International Law (AJIL),1,52,126
A5042075342,Marie Kabala,1996,The University of Melbourne,AU,,Ethnic and Racial Studies,1,1,0
A5076281828,Marie-Andrée Jacob,2009,Keele University,GB,,Law and Society Review,1,32,214
A5067976205,Marilyn Booth,1993;1994;1995,University of Illinois Urbana-Champaign,US,,British Journal of Middle Eastern Studies (BRISMES),3,211,1330
A5009584681,Marilyn Halter,1996,Boston University,US,,Ethnic and Racial Studies,2,43,870
A5015340910,Marilyn Strathern,1991,University of Manchester,GB,,Ethnos: Journal of Anthropology,1,391,25349
A5040065135,Marina Eleftheriadou,2021,,,,Middle East Journal,1,18,37
A5057248590,Marina Heung,1996,Baruch College,US,,Ethnic and Racial Studies,1,2,1
A5048314918,Marinus H. Van IJzendoorn,2012,Leiden University,NL,,Journal of Loss and Trauma,1,1115,84921
A5000916584,Mario Mikulincer,1986;1988;1990;1991;1993;1995;1998;2001;2004;2005;2007;2012,Bar-Ilan University;Reichman University,IL,,Journal of Personality and Social Psychology (JPSP);Personality and Social Psychology Bulletin (PSPB),15,610,53719
A5042143443,Marion E. Doro,1996,Connecticut College,US,,Ethnic and Racial Studies,1,30,47
A5081521045,Marit Melhuus,1991,University of Oslo,NO,,Ethnos: Journal of Anthropology,1,62,531
A5078189740,Mark A. Bruzonsky,1984,,,,Journal of Palestine Studies,2,77,25
A5006464658,Mark A. Mengerink,2016,Lamar University,US,,Holocaust and Genocide Studies (HGS),1,5,2
A5080914459,Mark Gibney,2025,,,,Human Rights Quarterly,1,157,1733
A5059986013,Mark Iris,1977,Northwestern University,US,,Journal of Politics (JOP),1,1,0
A5040041418,Mark LeVine,2025,University of California System,US,,Journal of Genocide Research (JGR),1,8,3
A5015725705;A5026394334,Mark Levene,1997;2000,University of Warwick,GB,,Patterns of Prejudice,2,429,5655
A5025986741,Mark Levine,2002;2005;2015,,,,International Journal of Middle East Studies (IJMES);Journal of Palestine Studies,3,131,1619
A5085292985,Mark Marshall,1996,,,,Journal of Palestine Studies,1,3,6
A5063789883,Mark N. Katz,2001;2008,,,,Middle East Journal,2,332,2219
A5039622052,Mark P. Cohen,1988;1989,American Jewish Committee;Georgetown University,US,,Journal of Palestine Studies,2,3,8
A5061213220,Mark Q. Sawyer,2004,"University of California, Los Angeles",US,,Du Bois Review: Social Science Research on Race,1,44,976
A5109524574,Mark R. Lepper,1985,,,,Journal of Personality and Social Psychology (JPSP),1,126,31985
A5118747420,Mark S. Chandler,2025,Coastal Carolina University,US,,Middle East Journal,1,1,0
A5066880426,Mark S. Wagner,2021,Louisiana State University,US,,International Journal of Middle East Studies (IJMES),1,37,31
A5090647510,Mark Tessler,1980;1986;1990;1991;1993;1997,University of Wisconsin–Milwaukee,US,Political Science,International Journal of Middle East Studies (IJMES);Journal of Palestine Studies;World Politics,10,184,3262
A5102833187,Mark Wagner,2018,,,,Telos,1,30,532
A5088749275,Mark Zeitoun,2012,,,,Journal of Palestine Studies,1,137,3535
A5071050589,Marko Milanovic,2025,Lund University;University of Reading,GB;SE,,International & Comparative Law Quarterly (ICLQ),1,139,1520
A5038289664,Marlen Eordegian,2003,,,,International Journal of Middle East Studies (IJMES),1,3,15
A5032270318,Marlene de Vries,2006,,,,Journal of Ethnic and Migration Studies (JEMS),1,19,585
A5024298877,Marte Heian-Engdal,2016,University of Oslo,NO,,British Journal of Middle Eastern Studies (BRISMES),1,7,29
A5027110040,Martijn van Zomeren,2018;2023,University of Groningen,NL,,Group Processes & Intergroup Relations (GPIR),2,225,11880
A5110497447,Martin Bulmer,1998,,,,Ethnic and Racial Studies,1,358,8076
A5090046659,Martin Bunton,2003,,,,International Journal of Middle East Studies (IJMES),1,111,588
A5066320280,Martin Crawford,1997,Keele University,GB,,Ethnic and Racial Studies,1,97,510
A5113598933,Martin Davey,1995,University of Manchester,GB,,Ethnic and Racial Studies,1,20,55
A5071580887,Martin Domke,1959,American Arbitration Association,US,,American Journal of International Law (AJIL),1,123,308
A5087830666,Martin Durham,2004,University of Wolverhampton,GB,,Patterns of Prejudice,1,91,541
A5065643250,Martin Feinrider,1984,,,Nova Law Center,American Journal of International Law (AJIL),1,9,30
A5108707103,Martin Jay,2017;2025,"University of California, Berkeley",US,,Journal of Genocide Research (JGR);New German Critique,2,261,9331
A5007138030,Martin Rodriguez,2018,Park Plaza Hospital,US,,Genocide Studies and Prevention: An International Journal (GSP),1,5,4
A5071588626;A5103157330,Martin Shaw,2010;2011;2016,Institut Barcelona d'Estudis Internacionals;University of Roehampton,ES;GB,,Genocide Studies and Prevention: An International Journal (GSP);Journal of Genocide Research (JGR),3,398,5220
A5064201969,Martin Slann,1983,Clemson University,US,,American Political Science Review (APSR),1,45,108
A5112018007,Marver H. Bernstein,1959;1964,Princeton University,US,,American Political Science Review (APSR);Journal of Politics (JOP);World Politics,3,91,1907
A5064190455,Marvin C. Feuerwerger,1977,Harvard University Press,US,,American Political Science Review (APSR),2,6,6
A5108559903,Marvin K. Opler,1970,,,,Current Anthropology,1,202,7115
A5042394406,Marwan D. Hanania,2014,,,,British Journal of Middle Eastern Studies (BRISMES),1,5,16
A5062608902,Marwan Dalal,2006;2007,,,,Journal of Palestine Studies,2,2,0
A5029342598,Marwan Dudin,1987,,,,Journal of Palestine Studies,1,2,0
A5058870605,Marwan M. Kraidy,2002,,,,Middle East Journal,1,201,4145
A5064690844,Mary C. Waters,1992,Harvard University,US,,Ethnic and Racial Studies,1,216,15118
A5110471407,Mary C. Wilson,1990;1993;2000,University of Massachusetts Amherst,US,,British Journal of Middle Eastern Studies (BRISMES);Journal of Palestine Studies,3,73,1540
A5043542628,Mary Gutman,2022,,,"Department of Education, Efrata College of Education, Jerusalem, Israel",Journal of Ethnic and Migration Studies (JEMS),1,30,528
A5023726573,Mary J. Ainslie,2023,,,,Patterns of Prejudice,1,56,107
A5013564745,Mary J. Gallant,2010,Rowan University,US,,International Criminal Justice Review,1,14,96
A5110052768,Mary Maynard,1990;1996,University of York,GB,,Ethnic and Racial Studies,3,73,2347
A5009175202,Mary Searle‐Chatterjee,1996,Manchester Metropolitan University,GB,,Ethnic and Racial Studies,2,46,5392
A5036485184,Marya Farah,2020,,,Marya Farah is a U.S.-licensed attorney who focuses on international human rights law and advocacy.,Journal of Palestine Studies,1,5,10
A5006715779,Mary C. Stiner,2000,,,,Current Anthropology,1,137,11281
A5050018405,María Minassian,2018,Hospital Alemán;Universidad de Buenos Aires,AR,,Genocide Studies and Prevention: An International Journal (GSP),1,1,0
A5080990893,Masab Rood,2024,,,"Independent Artist and Researcher, Bremen, Germany",Middle East Critique,1,3,57
A5098750917,Masawa Kawaumi,2024,,,"Independent Curator and Researcher, Vienna, Austria",Middle East Critique,1,2,1
A5024233292,Masi Noor,2015,Liverpool John Moores University,GB,,Group Processes & Intergroup Relations (GPIR),1,74,2359
A5029142054,Matan Kaminer,2021;2025,Hebrew University of Jerusalem,IL,,International Journal of Middle East Studies (IJMES),2,14,47
A5071080323,Mathias Mossberg,2010,Centre of Advanced Studies,RU,,Journal of Palestine Studies,1,10,23
A5042506898,Mathias Nesthun Sønsteby,2022,,,,Middle East Journal,1,2,1
A5083176736,Matias A. Bargsted,2009,University of Michigan,US,,American Journal of Political Science (AJPS),1,33,965
A5045661246,Matityahu Peled,1982,,,,Journal of Palestine Studies,2,2,0
A5091726070,Matt Evans,2011,Engineering Arts (United States),US,,Middle East Journal,1,20,211
A5027847558,Matthew D. Hammond,2025,Victoria University of Wellington,NZ,,Personality and Social Psychology Bulletin (PSPB),1,96,2661
A5026831767,Matthew DeMaio,2021,George Washington University,US,,International Journal of Middle East Studies (IJMES),1,6,15
A5058614687,Matthew Diamond,2004,Duke University,US,,Journal of Politics (JOP),1,5,255
A5075036785,Matthew H. Brittingham,2020,Emory University,US,,Genocide Studies and Prevention: An International Journal (GSP),1,16,3
A5088120421,Matthew H. Ellis,2020,Sarah Lawrence College,US,,International Journal of Middle East Studies (IJMES),1,32,24
A5064073321,Matthew Hughes,2005;2011;2012;2013;2015,,,,Journal of Palestine Studies;Middle East Journal,6,235,852
A5021448872,Matthew J. Hornsey,2015,The University of Queensland,AU,,Personality and Social Psychology Bulletin (PSPB),1,333,19378
A5101529105,Matthew J. Nelson,2020,"Oxfam;SOAS University of London;Tel Aviv University;Universidad de Londres;University of California, Los Angeles;University of London;University of Massachusetts Amherst",GB;IL;MX;US,,Law and Social Inquiry,1,130,621
A5017672858,Matthew Kraig Kelly,2015,,,,Journal of Palestine Studies,1,141,477
A5068978578,Matthew Levinger,2024,George Washington University,US,,Genocide Studies and Prevention: An International Journal (GSP),1,49,551
A5046925035,Matthew Longo,2014,Yale University,US,,American Journal of Political Science (AJPS),1,24,333
A5017000355,Matthias Koenig,2017,Max Planck Institute for the Study of Religious and Ethnic Diversity,DE,,Ethnic and Racial Studies,1,139,1487
A5088700688,Matti Weisdorf,2019,University of Copenhagen,DK,,Ethnos: Journal of Anthropology,1,11,42
A5087854748;A5071520380,Mattityahu Peled,1991,,,,Journal of Palestine Studies,2,28,26
A5113477836,Maurice Freedman,1955,,,,The British Journal of Sociology (BJS),1,188,7506
A5082709124,Mauro Van Aken,1997,,,"Cermoc , Amman",British Journal of Middle Eastern Studies (BRISMES),1,49,150
A5043153686,Max Ajl,2017,,,,Journal of Palestine Studies,1,61,522
A5060312864,Max Blumenthal,2013;2014,,,,Journal of Palestine Studies,2,6,21
A5020617485,Max Counter,2023,Grand Valley State University,US,,Journal of Genocide Research (JGR),1,10,67
A5073580648,Max L. Gross,1997,,,,Middle East Journal,1,7,26
A5022416130,Maxim Babush,2015,"University of Maryland, College Park",US,,Personality and Social Psychology Bulletin (PSPB),1,11,581
A5090479631,Maya A. Yampolsky,2011,Université du Québec à Montréal,CA,,"Social Identities: Journal for the Study of Race, Nation and Culture",1,29,517
A5068763363,Maya Rosenfeld,2002;2018,Hebrew University of Jerusalem,IL,,American Journal of Sociology (AJS);International Journal of Middle East Studies (IJMES),2,9,148
A5088986162,Maya Tamir,2018;2022,Hebrew University of Jerusalem,IL,,Group Processes & Intergroup Relations (GPIR);Personality and Social Psychology Bulletin (PSPB),3,182,11112
A5076521544,Mazen Masri,2015;2018,,,,Journal of Palestine Studies,2,22,111
A5057440460,Mazin B. Qumsiyeh,2005,,,,Middle East Journal,1,189,4681
A5009073499,Mazyar Lotfalian,1996,Rice University,US,,Ethnic and Racial Studies,1,17,184
A5101755326,Mehmet Ozkan,2009,,,,British Journal of Middle Eastern Studies (BRISMES),1,196,985
A5073309276,Mehran Tamadonfar,1991,"University of Nevada, Las Vegas",US,,American Political Science Review (APSR),1,45,277
A5069417886,Meir Yaish,2000;2001;2002;2008;2010;2014,Carmel (Israel);University of Haifa;University of Oxford,GB;IL,,European Sociological Review (ESR);The British Journal of Sociology (BJS),7,63,2524
A5010555500,Meirav Aharon,2012,Technion – Israel Institute of Technology,IL,,Cultural Sociology,1,29,260
A5074864170,Meirav Mishali-Ram,2023,Bar-Ilan University,IL,,British Journal of Middle Eastern Studies (BRISMES),1,21,102
A5066522558,Meital Balmas,2025,Hebrew University of Jerusalem,IL,,Personality and Social Psychology Bulletin (PSPB),1,58,1241
A5089511352,Meital Pinto,2012,Carmel Unified School District,US,,Ethnicities,1,62,137
A5046635396,Melanie C Steffens,2025,University of Koblenz and Landau,DE,,Journal of Personality and Social Psychology (JPSP),1,218,4800
A5033622430,Melanie O'Brien,2019,The University of Western Australia,AU,,Genocide Studies and Prevention: An International Journal (GSP),1,146,260
A5062704823,Melinda A. Zeder,2011,,,,Current Anthropology,1,100,10712
A5008591676,Meline Nielsen,1997,Selly Oak Hospital,GB,,British Journal of Middle Eastern Studies (BRISMES),1,3,0
A5104050611,Melissa McDonald,2015,Oakland University,US,,Group Processes & Intergroup Relations (GPIR),1,7,62
A5079505592,Melissa T. Labonte,2011,Fordham University,US,,International Journal of Human Rights (IJHR),1,23,804
A3123580031,"Mellor, Noha",2019,,,,Middle East Journal,1,0,0
A5061711155,Melody M Chao,2012;2018,Hong Kong University of Science and Technology;University of Hong Kong,HK,,Journal of Personality and Social Psychology (JPSP),2,128,2941
A5007208359,Melvin A. Goodman,1996,,,,Middle East Journal,1,48,207
A5011369398,Menachem Ben-Ezra,2011,Ariel University,IL,,Journal of Loss and Trauma,1,321,6379
A5011053985,Menachem Fisch,2020,,,,Telos,1,80,443
A5049214122,Menachem Klein,1993;2003;2017,,,,British Journal of Middle Eastern Studies (BRISMES);Journal of Palestine Studies;Middle East Journal,4,62,369
A5063310625,Menachem Rosner,1996,,,,American Journal of Sociology (AJS),1,33,559
A5067985018,Menashe Shava,1982,,,,International & Comparative Law Quarterly (ICLQ),1,3,5
A5100393528,Mengyao Li,2019,Max Planck Institute for Research on Collective Goods;University of Massachusetts Amherst,DE;US,,Personality and Social Psychology Bulletin (PSPB),1,95,1399
A5023683297,Merav Alush-Levron,2015,Tel Aviv University,IL,,"Social Identities: Journal for the Study of Race, Nation and Culture",1,2,12
A5006833763,Merav Amir,2011,Tel Aviv University,IL,,"Theory, culture, and society",1,44,333
A5060641512,Merav Kaddar,2021,Hebrew University of Jerusalem,IL,,Ethnic and Racial Studies,1,8,59
A5114377579,Merav Mack,2015,,,,British Journal of Middle Eastern Studies (BRISMES),1,11,31
A5060025886,Meriam N. Belli,2022,University of Iowa,US,,International Journal of Middle East Studies (IJMES),1,19,18
A5033676867,"Merle Thorpe, Jr.",1985;1994,,,,Journal of Palestine Studies,4,8,2
A5074052251,Meron Benvenisti,1987,,,Meron Benvenisti is a former deputy mayor of Jerusalem and the founder and director of the West Bank Data Base Project.,Journal of Palestine Studies,1,49,928
A5044508263,Merrisa Lin,2024,University of Connecticut,US,,Personality and Social Psychology Bulletin (PSPB),1,7,45
A5032394788,Mervin F. Verbit,1994,,,,American Journal of Sociology (AJS),1,12,73
A5056210907,Mette Andersson,2012,University of Bergen,NO,,Ethnicities,1,53,969
A5016776037,Meyrav Wurmser,1997,,,,Middle East Journal,1,12,19
A5059162220,Meytal Nasie,2014;2021,Tel Aviv University,IL,,Group Processes & Intergroup Relations (GPIR);Journal of Social Issues (JSI);Personality and Social Psychology Bulletin (PSPB),3,28,387
A5019797652,Micaela Sahhar,2024,The University of Melbourne;University of Divinity,AU,,Middle East Critique,1,17,48
A5018887644,Micha Popper,2007,University of Haifa,IL,,Journal of Personality and Social Psychology (JPSP),1,98,5750
A5111568302,Micha Rabau,2005,Tel Aviv University,IL,,Journal of Loss and Trauma,1,103,2842
A5006020549,Michaeal Dunn,2000,,,,Middle East Journal,1,1,2
A5015356258,Michael A. Hogg,2013,Claremont Graduate University,US,,Journal of Social Issues (JSI),1,475,56745
A5103876522,Michael A. Meyer,1985,Union College,US,,International Journal of Middle East Studies (IJMES),1,113,785
A5004149416;A5105949658;A5048510789;A5110818073,Michael Adams,1977;1980;1988;1989;1995,Middle East Institute;University of Palestine,PS;US,"Michael Adams served as Middle East correspondent for the Manchester Guardian (1956–1962) and as editor of Middle East International. This article was presented at the PSA Conference, Plymouth Polytechnic, 11–14 April 1988.;Michael Adams, a former editor of Middle East International, is now an honorary research fellow in the Department of Politics at the University of Exeter, Devon, England. The first volume of his autobiography, The Untravelled World, was re-issued in paperback by Quartet Books, London and New York, in 1988.",British Journal of Middle Eastern Studies (BRISMES);Journal of Palestine Studies,6,323,4729
A5041620487,Michael B. Bishku,1999;2002;2010;2011;2013;2021,,,"Department of History, Augusta State University, Augusta, Ga.",International Journal of Middle East Studies (IJMES);Middle East Journal,6,113,293
A5008775973,Michael B. MacKuen,1983,,,,American Journal of Political Science (AJPS),1,70,9073
A5043169048,Michael Banton,1991;1996,University of Bristol,GB,,Ethnic and Racial Studies;Journal of Ethnic and Migration Studies (JEMS),2,347,6210
A5051458649;A5114252932,Michael Barnett,1990;1994;1995;1997;1999;2003,University of Wisconsin–Madison;Wellesley College,US,,American Political Science Review (APSR);International Journal of Middle East Studies (IJMES);Middle East Journal;World Politics,6,225,17777
A5032199504,Michael Berenbaum,2015;2021;2022,American Jewish University,US,,Holocaust and Genocide Studies (HGS),3,120,727
A5060045802,Michael Billig,1986;1988;1991,Loughborough University,GB,,Patterns of Prejudice,3,187,8083
A5003550885,Michael Birnhack,2016,Tel Aviv University,IL,,Law and Society Review,1,127,910
A5113488761,Michael Brecher,1973,Hebrew University of Jerusalem;McGill University,CA;IL,,American Political Science Review (APSR),1,210,2984
A5016829229,Michael Burleigh,1996,University of Wales,GB,,Ethnic and Racial Studies,1,108,1578
A5108806822,Michael C. Hudson,1972;1980;1982,Georgetown University;Johns Hopkins University School of Advanced International Studies;University of Southern California,US,,American Political Science Review (APSR);Journal of Palestine Studies;Yale Law Journal,5,284,5074
A5046191311,Michael Chibnik,2015,University of Iowa,US,,American Anthropologist,1,138,977
A5067756519,Michael Collins Dunn,1989;1990;1991;1994;1997,Georgetown University,US,,Journal of Palestine Studies;Middle East Journal,7,240,2782
A5045667406,Michael Crowley,2015,University of Bradford,GB,,International Journal of Human Rights (IJHR),1,125,338
A5048812910,Michael Curtis,1984;1988,"Rutgers Sexual and Reproductive Health and Rights;Rutgers, The State University of New Jersey",NL;US,,American Political Science Review (APSR);Journal of Politics (JOP),2,172,1998
A5101435599,Michael D. Ward,1989,University of Colorado System,US,,American Political Science Review (APSR),1,340,8324
A5110941948,Michael Dillon,1996,,,"Department of East Asian Studies , University of Durham",Ethnic and Racial Studies,1,44,261
A5033475961,Michael Dumper,1992;1993;1994;1998;2002;2012,University of Exeter,GB,,Journal of Palestine Studies;Middle East Journal,9,88,553
A5028158083,Michael E. Deutsch,2008,,,,Journal of Palestine Studies,1,3,37
A5075571906,Michael Feige,1999;2003,,,,History and Memory;Middle East Journal,2,31,394
A5002937079;A5019445186,Michael Freeman,1985;1986;1996,University of Essex,GB,,Human Rights Quarterly;Patterns of Prejudice,3,709,10048
A5003210602,Michael Galchinsky,2006,,,,Journal of Human Rights (JHR),1,41,638
A5082440644,Michael Gurevitch,1971;1972;1973,,,,American Journal of Sociology (AJS);American Sociological Review (ASR);Law and Society Review,3,60,11558
A5036706287,Michael H Pasek,2025,University of Illinois Chicago,US,,Journal of Personality and Social Psychology (JPSP),1,43,768
A5036638751,Michael H. Cardozo,1986,,,,American Journal of International Law (AJIL),1,43,56
A5042050495,Michael Hanchard,1996,Science North,CA,,Ethnic and Racial Studies,1,74,1878
A5083913334,Michael J. A. Wohl,2013;2015,Carleton University,CA,,Group Processes & Intergroup Relations (GPIR);Personality and Social Psychology Bulletin (PSPB),2,325,14882
A5028958226,Michael J. Bazyler,2007,University of South Florida,US,,Genocide Studies and Prevention: An International Journal (GSP),1,163,487
A5011988886,Michael J. Dennis,2005,United States Department of State,US,,American Journal of International Law (AJIL),1,488,10201
